epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3007.2,1.00042,0.7298,1.09522,0.88898,0.89655,0.91799,0.54913,1.4363,0.93698,1.46023,0.0009506,0.0009506,0.0009506
55,3035.89,1.0381,0.776,1.13502,0.89547,0.86207,0.91619,0.53298,1.49294,1.06347,1.50016,0.0009308,0.0009308,0.0009308
56,3065.62,0.98945,0.73938,1.08992,0.97366,0.75862,0.88325,0.53737,1.39468,1.13908,1.47523,0.000911,0.000911,0.000911
57,3095.36,1.01019,0.74818,1.11976,0.93314,0.72414,0.84887,0.51289,1.43486,1.18598,1.4814,0.0008912,0.0008912,0.0008912
58,3134.69,1.00106,0.70188,1.12858,0.95598,0.75862,0.87125,0.52872,1.42248,1.16611,1.44688,0.0008714,0.0008714,0.0008714
59,3172.67,1.04291,0.77916,1.16179,1,0.74772,0.85961,0.53586,1.425,1.2542,1.47979,0.0008516,0.0008516,0.0008516
60,3204.09,0.93427,0.65511,1.06276,0.94768,0.75862,0.85385,0.50969,1.43802,1.19742,1.51108,0.0008318,0.0008318,0.0008318
61,3235.32,0.95109,0.67242,1.06983,0.93921,0.86207,0.88883,0.53428,1.41927,1.00184,1.5009,0.000812,0.000812,0.000812
62,3266.76,0.91747,0.66561,1.06547,0.95804,0.89655,0.89615,0.55887,1.4329,0.94594,1.49696,0.0007922,0.0007922,0.0007922
63,3298.35,0.97824,0.73593,1.10946,1,0.87769,0.89741,0.55222,1.49654,1.04593,1.54586,0.0007724,0.0007724,0.0007724
64,3335.62,0.92135,0.70034,1.07732,0.9576,0.7792,0.85715,0.53097,1.4517,1.08022,1.53959,0.0007526,0.0007526,0.0007526
65,3376.64,0.85051,0.62547,1.02855,1,0.64942,0.80468,0.47474,1.47179,1.12069,1.4998,0.0007328,0.0007328,0.0007328
66,3418.12,0.92579,0.67154,1.08074,0.87386,0.71689,0.79649,0.4943,1.4742,1.10391,1.46499,0.000713,0.000713,0.000713
67,3459.86,0.8703,0.65071,1.06499,0.93926,0.65517,0.796,0.46572,1.56982,1.1611,1.52075,0.0006932,0.0006932,0.0006932
68,3499.52,0.85837,0.62634,1.02902,0.91329,0.7931,0.86411,0.51916,1.50879,1.06093,1.53195,0.0006734,0.0006734,0.0006734
69,3540.28,0.85248,0.64494,1.02833,0.98492,0.82759,0.94694,0.57504,1.41199,0.85904,1.4881,0.0006536,0.0006536,0.0006536
70,3581.18,0.89664,0.623,1.08691,0.93228,0.94972,0.97846,0.57711,1.40447,0.76253,1.47607,0.0006338,0.0006338,0.0006338
